_row_index,cve_id,commit_hash,repo_name,repo_url,commit_urls,source_file,language,_language,_language_source,selection_source,cwe_ids,cwe_tokens,multiple_language
6192,CVE-2019-12900,74de1e2e6ffc9d51ef9824db71a8ffee5962cdbc,gitlab.com/federicomenaquintero/bzip2,https://gitlab.com/federicomenaquintero/bzip2,https://gitlab.com/federicomenaquintero/bzip2/commit/74de1e2e6ffc9d51ef9824db71a8ffee5962cdbc,cvelistV5/cves/2019/12xxx/CVE-2019-12900.json,JSON,JSON,csv,references_fallback,CWE-787,CWE-787,false
6196,CVE-2019-12922,7d21d4223bdbe0306593309132b4263d7087d13b,github.com/phpmyadmin/phpmyadmin,https://github.com/phpmyadmin/phpmyadmin,https://github.com/phpmyadmin/phpmyadmin/commit/7d21d4223bdbe0306593309132b4263d7087d13b,cvelistV5/cves/2019/12xxx/CVE-2019-12922.json,JSON,JSON,csv,references_fallback,CWE-352,CWE-352,false
6204,CVE-2019-13012,5e4da714f00f6bfb2ccd6d73d61329c6f3a08429,gitlab.gnome.org/GNOME/glib.git,https://gitlab.gnome.org/GNOME/glib.git,https://gitlab.gnome.org/GNOME/glib/commit/5e4da714f00f6bfb2ccd6d73d61329c6f3a08429,cvelistV5/cves/2019/13xxx/CVE-2019-13012.json,JSON,JSON,csv,references_fallback,CWE-732,CWE-732,false
6206,CVE-2019-13117,c5eb6cf3aba0af048596106ed839b4ae17ecbcb1,gitlab.gnome.org/GNOME/libxslt.git,https://gitlab.gnome.org/GNOME/libxslt.git,https://gitlab.gnome.org/GNOME/libxslt/commit/c5eb6cf3aba0af048596106ed839b4ae17ecbcb1,cvelistV5/cves/2019/13xxx/CVE-2019-13117.json,JSON,JSON,csv,references_fallback,CWE-908,CWE-908,false
6207,CVE-2019-13118,6ce8de69330783977dd14f6569419489875fb71b,gitlab.gnome.org/GNOME/libxslt.git,https://gitlab.gnome.org/GNOME/libxslt.git,https://gitlab.gnome.org/GNOME/libxslt/commit/6ce8de69330783977dd14f6569419489875fb71b,cvelistV5/cves/2019/13xxx/CVE-2019-13118.json,JSON,JSON,csv,references_fallback,CWE-843,CWE-843,false
6263,CVE-2019-13377,147bf7b88a9c231322b5b574263071ca6dbb0503,w1.fi/cgit/hostap,https://w1.fi/cgit/hostap,https://w1.fi/cgit/hostap/commit/?id=147bf7b88a9c231322b5b574263071ca6dbb0503,cvelistV5/cves/2019/13xxx/CVE-2019-13377.json,JSON,JSON,csv,references_fallback,CWE-203,CWE-203,false
6264,CVE-2019-13377,cd803299ca485eb857e37c88f973fccfbb8600e5,w1.fi/cgit/hostap,https://w1.fi/cgit/hostap,https://w1.fi/cgit/hostap/commit/?id=cd803299ca485eb857e37c88f973fccfbb8600e5,cvelistV5/cves/2019/13xxx/CVE-2019-13377.json,JSON,JSON,csv,references_fallback,CWE-203,CWE-203,false
6271,CVE-2019-13506,0d5dfe71917191c5b07f373896311f2d8f6b75be,github.com/nuxt/nuxt.js,https://github.com/nuxt/nuxt.js,https://github.com/nuxt/nuxt.js/commit/0d5dfe71917191c5b07f373896311f2d8f6b75be,cvelistV5/cves/2019/13xxx/CVE-2019-13506.json,JSON,JSON,csv,references_fallback,CWE-79,CWE-79,false
6289,CVE-2019-14378,126c04acbabd7ad32c2b018fe10dfac2a3bc1210,gitlab.freedesktop.org/slirp/libslirp,https://gitlab.freedesktop.org/slirp/libslirp,https://gitlab.freedesktop.org/slirp/libslirp/commit/126c04acbabd7ad32c2b018fe10dfac2a3bc1210,cvelistV5/cves/2019/14xxx/CVE-2019-14378.json,JSON,JSON,csv,references_fallback,CWE-755;CWE-787,CWE-755;CWE-787,false
6307,CVE-2019-14667,15d4d185bbedf2bb9db4a8fa2ccf9fc359a06194,github.com/firefly-iii/firefly-iii,https://github.com/firefly-iii/firefly-iii,https://github.com/firefly-iii/firefly-iii/commit/15d4d185bbedf2bb9db4a8fa2ccf9fc359a06194,cvelistV5/cves/2019/14xxx/CVE-2019-14667.json,JSON,JSON,csv,references_fallback,CWE-79,CWE-79,false
6308,CVE-2019-14667,427de0594d05a8222f55b2894311e648ba1be991,github.com/firefly-iii/firefly-iii,https://github.com/firefly-iii/firefly-iii,https://github.com/firefly-iii/firefly-iii/commit/427de0594d05a8222f55b2894311e648ba1be991,cvelistV5/cves/2019/14xxx/CVE-2019-14667.json,JSON,JSON,csv,references_fallback,CWE-79,CWE-79,false
6309,CVE-2019-14668,3ad4e04e2ae50e60564b60b68dfac083e5684882,github.com/firefly-iii/firefly-iii,https://github.com/firefly-iii/firefly-iii,https://github.com/firefly-iii/firefly-iii/commit/3ad4e04e2ae50e60564b60b68dfac083e5684882,cvelistV5/cves/2019/14xxx/CVE-2019-14668.json,JSON,JSON,csv,references_fallback,CWE-79,CWE-79,false
6310,CVE-2019-14669,2ddf48f15cbdbb475221c299872420f625c3bc3f,github.com/firefly-iii/firefly-iii,https://github.com/firefly-iii/firefly-iii,https://github.com/firefly-iii/firefly-iii/commit/2ddf48f15cbdbb475221c299872420f625c3bc3f,cvelistV5/cves/2019/14xxx/CVE-2019-14669.json,JSON,JSON,csv,references_fallback,CWE-79,CWE-79,false
6320,CVE-2019-14806,00bc43b1672e662e5e3b8cecd79e67fc968fa246,github.com/pallets/werkzeug,https://github.com/pallets/werkzeug,https://github.com/pallets/werkzeug/commit/00bc43b1672e662e5e3b8cecd79e67fc968fa246,cvelistV5/cves/2019/14xxx/CVE-2019-14806.json,reStructuredText,reStructuredText,csv,references_fallback,CWE-331,CWE-331,true
6321,CVE-2019-14812,885444fcbe10dc42787ecb76686c8ee4dd33bf33,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commitdiff%3Bh=885444fcbe10dc42787ecb76686c8ee4dd33bf33;http://git.ghostscript.com/?p=ghostpdl.git;a=commitdiff;h=885444fcbe10dc42787ecb76686c8ee4dd33bf33,cvelistV5/cves/2019/14xxx/CVE-2019-14812.json,JSON,JSON,csv,references_fallback,CWE-648,CWE-648,false
6322,CVE-2019-14813,885444fcbe10dc42787ecb76686c8ee4dd33bf33,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commitdiff%3Bh=885444fcbe10dc42787ecb76686c8ee4dd33bf33;http://git.ghostscript.com/?p=ghostpdl.git;a=commitdiff;h=885444fcbe10dc42787ecb76686c8ee4dd33bf33,cvelistV5/cves/2019/14xxx/CVE-2019-14813.json,JSON,JSON,csv,references_fallback,CWE-648,CWE-648,false
6326,CVE-2019-14817,cd1b1cacadac2479e291efe611979bdc1b3bdb19,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commitdiff%3Bh=cd1b1cacadac2479e291efe611979bdc1b3bdb19;http://git.ghostscript.com/?p=ghostpdl.git;a=commitdiff;h=cd1b1cacadac2479e291efe611979bdc1b3bdb19,cvelistV5/cves/2019/14xxx/CVE-2019-14817.json,JSON,JSON,csv,references_fallback,CWE-648,CWE-648,false
6331,CVE-2019-14869,485904772c5f,git.ghostscript.com/ghostpdl.git,https://git.ghostscript.com/ghostpdl.git,https://git.ghostscript.com/?p=ghostpdl.git%3Ba=commitdiff%3Bh=485904772c5f;https://git.ghostscript.com/?p=ghostpdl.git;a=commitdiff;h=485904772c5f,cvelistV5/cves/2019/14xxx/CVE-2019-14869.json,JSON,JSON,csv,references_fallback,CWE-648,CWE-648,false
6332,CVE-2019-14924,02738433bf2e1b820ef48f04edd15df304081802,github.com/swisspol/GCDWebServer,https://github.com/swisspol/GCDWebServer,https://github.com/swisspol/GCDWebServer/commit/02738433bf2e1b820ef48f04edd15df304081802,cvelistV5/cves/2019/14xxx/CVE-2019-14924.json,Objective-C,Objective-C,csv,references_fallback,CWE-863,CWE-863,false
6344,CVE-2019-15075,9877ec62556f0470030acd306b24bc94fdcbe2ae,github.com/iNextrix/ASTPP,https://github.com/iNextrix/ASTPP,https://github.com/iNextrix/ASTPP/commit/9877ec62556f0470030acd306b24bc94fdcbe2ae,cvelistV5/cves/2019/15xxx/CVE-2019-15075.json,Shell,Shell,csv,references_fallback,CWE-327;CWE-798,CWE-327;CWE-798,true
6382,CVE-2019-15513,19e29ffc15dbd958e8e6a648ee0982c68353516f,git.openwrt.org/project/uci.git,https://git.openwrt.org/project/uci.git,https://git.openwrt.org/?p=project/uci.git%3Ba=commitdiff%3Bh=19e29ffc15dbd958e8e6a648ee0982c68353516f;https://git.openwrt.org/?p=project/uci.git;a=commitdiff;h=19e29ffc15dbd958e8e6a648ee0982c68353516f,cvelistV5/cves/2019/15xxx/CVE-2019-15513.json,JSON,JSON,csv,references_fallback,CWE-667,CWE-667,false
6391,CVE-2019-15642,df8a43fb4bdc9c858874f72773bcba597ae9432c,github.com/webmin/webmin,https://github.com/webmin/webmin,https://github.com/webmin/webmin/commit/df8a43fb4bdc9c858874f72773bcba597ae9432c,cvelistV5/cves/2019/15xxx/CVE-2019-15642.json,Perl,Perl,csv,references_fallback,CWE-94,CWE-94,false
6411,CVE-2019-15890,c5927943,gitlab.freedesktop.org/slirp/libslirp,https://gitlab.freedesktop.org/slirp/libslirp,https://gitlab.freedesktop.org/slirp/libslirp/commit/c5927943,cvelistV5/cves/2019/15xxx/CVE-2019-15890.json,JSON,JSON,csv,references_fallback,CWE-416,CWE-416,false
6412,CVE-2019-15900,2f83222829448e5bc4c9391d607ec265a1e06531,github.com/slicer69/doas,https://github.com/slicer69/doas,https://github.com/slicer69/doas/commit/2f83222829448e5bc4c9391d607ec265a1e06531,cvelistV5/cves/2019/15xxx/CVE-2019-15900.json,Makefile,Makefile,csv,references_fallback,CWE-252;CWE-754;CWE-863;CWE-908,CWE-252;CWE-754;CWE-863;CWE-908,true
